income,youngerWithoutPayrollTaxCredit,youngerWithPayrollTaxCredit,youngerDeductedLabourCredit,olderBefore1945WithoutPayrollTaxCredit,olderBefore1945WithPayrollTaxCredit,olderBefore1945DeductedLabourCredit,olderWithoutPayrollTaxCredit,olderWithPayrollTaxCredit,olderDeductedLabourCredit
 4.50 , 1.67 , 0.00 , 0.00 , 0.83 , 0.00 , 0.00 , 0.83 , 0.00 , 0.00 
 9.00 , 3.33 , 0.00 , 0.00 , 1.67 , 0.00 , 0.00 , 1.67 , 0.00 , 0.00 
 13.50 , 5.00 , 0.00 , 0.00 , 2.58 , 0.00 , 0.00 , 2.58 , 0.00 , 0.00 
 18.00 , 6.67 , 0.00 , 0.00 , 3.42 , 0.00 , 0.00 , 3.42 , 0.00 , 0.00 
 22.50 , 8.33 , 0.00 , 0.00 , 4.25 , 0.00 , 0.00 , 4.25 , 0.00 , 0.00 
 27.00 , 10.00 , 0.00 , 0.00 , 5.17 , 0.00 , 0.00 , 5.17 , 0.00 , 0.00 
 31.50 , 11.67 , 0.00 , 0.00 , 6.00 , 0.00 , 0.00 , 6.00 , 0.00 , 0.00 
 36.00 , 13.33 , 0.00 , 0.00 , 6.83 , 0.00 , 0.00 , 6.83 , 0.00 , 0.00 
 40.50 , 15.00 , 0.00 , 0.00 , 7.75 , 0.00 , 0.00 , 7.75 , 0.00 , 0.00 
 45.00 , 16.67 , 0.00 , 0.00 , 8.58 , 0.00 , 0.00 , 8.58 , 0.00 , 0.00 
 49.50 , 18.33 , 0.00 , 0.00 , 9.50 , 0.00 , 0.00 , 9.50 , 0.00 , 0.00 
 54.00 , 20.00 , 0.00 , 0.00 , 10.33 , 0.00 , 0.00 , 10.33 , 0.00 , 0.00 
 58.50 , 21.67 , 0.00 , 0.00 , 11.17 , 0.00 , 0.00 , 11.17 , 0.00 , 0.00 
 63.00 , 23.33 , 0.00 , 0.00 , 12.08 , 0.00 , 0.00 , 12.08 , 0.00 , 0.00 
 67.50 , 25.00 , 0.00 , 0.00 , 12.92 , 0.00 , 0.00 , 12.92 , 0.00 , 0.00 
 72.00 , 26.67 , 0.00 , 0.00 , 13.75 , 0.00 , 0.00 , 13.75 , 0.00 , 0.00 
 76.50 , 28.33 , 0.00 , 0.00 , 14.67 , 0.00 , 0.00 , 14.67 , 0.00 , 0.00 
 81.00 , 30.00 , 0.00 , 0.00 , 15.50 , 0.00 , 0.00 , 15.50 , 0.00 , 0.00 
 85.50 , 31.67 , 0.00 , 0.00 , 16.33 , 0.00 , 0.00 , 16.33 , 0.00 , 0.00 
 90.00 , 33.33 , 0.00 , 0.00 , 17.25 , 0.00 , 0.00 , 17.25 , 0.00 , 0.00 
 94.50 , 35.00 , 0.00 , 0.00 , 18.08 , 0.00 , 0.00 , 18.08 , 0.00 , 0.00 
 99.00 , 36.67 , 0.00 , 0.00 , 19.00 , 0.00 , 0.00 , 19.00 , 0.00 , 0.00 
 103.50 , 38.33 , 0.00 , 0.00 , 19.83 , 0.00 , 0.00 , 19.83 , 0.00 , 0.00 
 108.00 , 40.00 , 0.00 , 0.00 , 20.67 , 0.00 , 0.00 , 20.67 , 0.00 , 0.00 
 112.50 , 41.67 , 0.00 , 0.00 , 21.58 , 0.00 , 0.00 , 21.58 , 0.00 , 0.00 
 117.00 , 43.33 , 0.00 , 0.00 , 22.42 , 0.00 , 0.00 , 22.42 , 0.00 , 0.00 
 121.50 , 45.00 , 0.00 , 0.00 , 23.25 , 0.00 , 0.00 , 23.25 , 0.00 , 0.00 
 126.00 , 46.67 , 0.00 , 0.00 , 24.17 , 0.00 , 0.00 , 24.17 , 0.00 , 0.00 
 130.50 , 48.33 , 0.00 , 0.00 , 25.00 , 0.00 , 0.00 , 25.00 , 0.00 , 0.00 
 135.00 , 50.08 , 0.00 , 0.00 , 25.92 , 0.00 , 0.00 , 25.92 , 0.00 , 0.00 
 139.50 , 51.75 , 0.00 , 0.00 , 26.75 , 0.00 , 0.00 , 26.75 , 0.00 , 0.00 
 144.00 , 53.42 , 0.00 , 0.00 , 27.58 , 0.00 , 0.00 , 27.58 , 0.00 , 0.00 
 148.50 , 55.08 , 0.00 , 0.00 , 28.50 , 0.00 , 0.00 , 28.50 , 0.00 , 0.00 
 153.00 , 56.75 , 0.00 , 0.00 , 29.33 , 0.00 , 0.00 , 29.33 , 0.00 , 0.00 
 157.50 , 58.42 , 0.00 , 0.00 , 30.17 , 0.00 , 0.00 , 30.17 , 0.00 , 0.00 
 162.00 , 60.08 , 0.00 , 0.00 , 31.08 , 0.00 , 0.00 , 31.08 , 0.00 , 0.00 
 166.50 , 61.75 , 0.00 , 0.00 , 31.92 , 0.00 , 0.00 , 31.92 , 0.00 , 0.00 
 171.00 , 63.42 , 0.00 , 0.00 , 32.75 , 0.00 , 0.00 , 32.75 , 0.00 , 0.00 
 175.50 , 65.08 , 0.00 , 0.00 , 33.67 , 0.00 , 0.00 , 33.67 , 0.00 , 0.00 
 180.00 , 66.75 , 0.00 , 0.00 , 34.50 , 0.00 , 0.00 , 34.50 , 0.00 , 0.00 
 184.50 , 68.42 , 0.00 , 0.00 , 35.42 , 0.00 , 0.00 , 35.42 , 0.00 , 0.00 
 189.00 , 70.08 , 0.00 , 0.00 , 36.25 , 0.00 , 0.00 , 36.25 , 0.00 , 0.00 
 193.50 , 71.75 , 0.00 , 0.00 , 37.08 , 0.00 , 0.00 , 37.08 , 0.00 , 0.00 
